2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Extension settings: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Device Info: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load User Consents: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Send Tab To Self: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Web Apps: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Collection: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Edge Hub App Usage: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Edge E Drop: success
2024-09-12T03:16:52.927Z P:16100 T:16200] ModelLoadManager::ModelLoadCallback,Load Edge Wallet: success
2024-09-12T03:16:52.927Z P:16100 T:16200] DataTypeManagerImpl::OnAllDataTypesReadyForConfigure,Start to configure data types
